manufacturer,name,chip,released,bus,memory,clock,memory_clock,shaders,tmus,rops
AMD,Radeon RX 470 Mobile,Ellesmere,2016-08-04,MXM-B (3.0),"8 GB, GDDR5, 256 bit",926 MHz,1750 MHz,2048,128,32
AMD,Radeon RX 470D,Ellesmere,2016-10-21,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",926 MHz,1650 MHz,1792,112,32
AMD,Radeon RX 480,Ellesmere,2016-06-29,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1120 MHz,2000 MHz,2304,144,32
AMD,Radeon RX 480 Mobile,Ellesmere,2016-08-04,MXM-B (3.0),"8 GB, GDDR5, 256 bit",1000 MHz,2000 MHz,2304,144,32
AMD,Radeon RX 580 OEM,Ellesmere,2016-06-29,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1120 MHz,2000 MHz,2304,144,32
AMD,Xbox One S GPU,Durango 2,2016-08-02,IGP,"8 GB, DDR3, 256 bit",914 MHz,1066 MHz,768,48,16
AMD,Radeon 520 Mobile,Banks,2017-04-18,PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1030 MHz,1000 MHz,320,20,8
AMD,Radeon 520 Mobile,Banks,2017-04-18,PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1030 MHz,1125 MHz,320,20,8
AMD,Radeon 530 Mobile,Weston,2017-04-18,PCIe 3.0 x8,"2 GB, DDR3, 64 bit",730 MHz,900 MHz,384,24,8
AMD,Radeon 530X Mobile,Polaris 24,2017-04-18,PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",730 MHz,1125 MHz,384,24,8
AMD,Radeon 535 Mobile,Polaris 24,2017-04-18,PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",730 MHz,1125 MHz,384,24,8
AMD,Radeon 550,Lexa,2017-04-20,PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1100 MHz,1750 MHz,512,32,16
AMD,Radeon E9171 MCM,Lexa,2017-10-03,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512,32,16
AMD,Radeon E9172 MXM,Lexa,2017-10-03,MXM-A (3.0),"2 GB, GDDR5, 64 bit",1124 MHz,1500 MHz,512,32,16
AMD,Radeon E9173 PCIe,Lexa,2017-10-03,PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1124 MHz,1500 MHz,512,32,16
AMD,Radeon E9174 MXM,Lexa,2017-10-03,MXM-A (3.0),"4 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512,32,16
AMD,Radeon E9175 PCIe,Lexa,2017-10-03,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512,32,16
AMD,Radeon Instinct MI25,Vega 10,2017-06-27,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1400 MHz,852 MHz,4096,256,64
AMD,Radeon Instinct MI25 MxGPU,Vega 10,2017-06-27,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1400 MHz,852 MHz,4096,256,64
AMD,Radeon Pro 555,Polaris 21,2017-06-05,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",850 MHz,1275 MHz,768,48,16
AMD,Radeon Pro 560,Polaris 21,2017-04-18,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",907 MHz,1270 MHz,1024,64,16
AMD,Radeon Pro 570,Polaris 20,2017-06-05,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1000 MHz,1695 MHz,1792,112,32
AMD,Radeon Pro 575,Polaris 20,2017-06-05,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1096 MHz,1695 MHz,2048,128,32
AMD,Radeon Pro 580,Polaris 20,2017-06-05,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1100 MHz,1695 MHz,2304,144,32
AMD,Radeon Pro Duo Polaris,Ellesmere,2017-04-24,PCIe 3.0 x16,"16 GB, GDDR5, 256 bit",1243 MHz,1750 MHz,2304,144,32
AMD,Radeon Pro SSG,Vega 10,2017-08-08,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1440 MHz,945 MHz,4096,256,64
AMD,Radeon Pro V320,Vega 10,2017-06-29,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",852 MHz,945 MHz,4096,256,64
AMD,Radeon Pro V320 MxGPU,Vega 10,2017-06-29,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",852 MHz,945 MHz,3584,224,64
AMD,Radeon Pro Vega 56,Vega 10,2017-08-14,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1138 MHz,786 MHz,3584,224,64
AMD,Radeon Pro Vega 64,Vega 10,2017-06-27,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1250 MHz,786 MHz,4096,256,64
AMD,Radeon Pro WX 2100,Lexa,2017-06-04,PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",925 MHz,1500 MHz,512,32,16
AMD,Radeon Pro WX 3100,Lexa,2017-06-12,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",925 MHz,1500 MHz,512,32,16
AMD,Radeon Pro WX 4130 Mobile,Baffin,2017-03-01,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1002 MHz,1500 MHz,640,40,16
AMD,Radeon Pro WX 4150 Mobile,Baffin,2017-03-01,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1002 MHz,1500 MHz,896,56,16
AMD,Radeon Pro WX 4170 Mobile,Baffin,2017-03-01,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1002 MHz,1500 MHz,1024,64,16
AMD,Radeon Pro WX 7100 Mobile,Ellesmere,2017-03-01,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1188 MHz,1250 MHz,2304,144,32
AMD,Radeon Pro WX 7130 Mobile,Ellesmere,2017-03-01,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1188 MHz,1250 MHz,2304,144,32
AMD,Radeon Pro WX 8100,Vega 10,2017-12-03,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,1000 MHz,3584,224,64
AMD,Radeon Pro WX 9100,Vega 10,2017-07-10,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1200 MHz,945 MHz,4096,256,64
AMD,Radeon R5 Graphics,Wani,2017-09-05,IGP,System Shared,200 MHz,System Shared,384,24,8
AMD,Radeon R8 M535DX,Meso,2017-04-18,IGP,System Shared,780 MHz,System Shared,320,20,8
AMD,Radeon RX 460 1024SP,Baffin,2017-01-17,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1090 MHz,1750 MHz,1024,64,16
AMD,Radeon RX 540 Mobile,Lexa,2017-11-11,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512,32,16
AMD,Radeon RX 550,Lexa,2017-04-20,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1100 MHz,1750 MHz,512,32,16
AMD,Radeon RX 550 640SP,Baffin,2017-10-13,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1019 MHz,1500 MHz,640,40,16
AMD,Radeon RX 550 Mobile,Lexa,2017-07-02,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,640,40,16
AMD,Radeon RX 560,Polaris 21,2017-04-18,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1175 MHz,1750 MHz,1024,64,16
AMD,Radeon RX 560 896SP,Polaris 21,2017-07-04,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1090 MHz,1750 MHz,896,56,16
AMD,Radeon RX 560 Mobile,Baffin,2017-01-05,MXM-B (3.0),"4 GB, GDDR5, 128 bit",784 MHz,1710 MHz,896,56,16
AMD,Radeon RX 560 Mobile,Baffin,2017-01-05,MXM-B (3.0),"4 GB, GDDR5, 128 bit",1090 MHz,1500 MHz,1024,64,16
AMD,Radeon RX 560 Mobile,Baffin,2017-01-05,MXM-B (3.0),"4 GB, GDDR5, 128 bit",1000 MHz,1500 MHz,896,56,16
AMD,Radeon RX 560D,Polaris 21,2017-07-04,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1090 MHz,1500 MHz,896,56,16
AMD,Radeon RX 570,Polaris 20,2017-04-18,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1168 MHz,1750 MHz,2048,128,32
AMD,Radeon RX 570 Mobile,Ellesmere,2017-12-10,MXM-B (3.0),"8 GB, GDDR5, 256 bit",926 MHz,1650 MHz,2048,128,32
AMD,Radeon RX 580,Polaris 20,2017-04-18,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1257 MHz,2000 MHz,2304,144,32
AMD,Radeon RX 580 Mobile,Polaris 20,2017-04-18,MXM-B (3.0),"8 GB, GDDR5, 256 bit",1000 MHz,2000 MHz,2304,144,32
AMD,Radeon RX Vega 10 Mobile,Raven,2017-10-26,IGP,System Shared,300 MHz,System Shared,640,40,8
AMD,Radeon RX Vega 56,Vega 10,2017-08-14,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1156 MHz,800 MHz,3584,224,64
AMD,Radeon RX Vega 64,Vega 10,2017-08-07,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1247 MHz,945 MHz,4096,256,64
AMD,Radeon RX Vega 64 Limited Edition,Vega 10,2017-08-07,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,945 MHz,4096,256,64
AMD,Radeon RX Vega 64 Liquid Cooling,Vega 10,2017-08-07,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1408 MHz,945 MHz,4096,256,64
AMD,Radeon Vega 8 Mobile,Raven,2017-11-24,IGP,System Shared,300 MHz,System Shared,512,32,8
AMD,Radeon Vega Frontier Edition,Vega 10,2017-06-27,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1382 MHz,945 MHz,4096,256,64
AMD,Radeon Vega Frontier Edition Watercooled,Vega 10,2017-07-13,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1382 MHz,945 MHz,4096,256,64
AMD,Xbox One X GPU,Scorpio,2017-11-07,IGP,"12 GB, GDDR5, 384 bit",1172 MHz,1700 MHz,2560,160,32
AMD,Radeon 540X,Lexa,2018-09-05,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",980 MHz,1750 MHz,512,32,16
AMD,Radeon 540X Mobile,Polaris 23,2018-04-11,PCIe 3.0 x8,"4 GB, GDDR5, 64 bit",1124 MHz,1500 MHz,512,32,16
AMD,Radeon 550X 640SP,Lexa,2018-04-11,PCIe 3.0 x8,"4 GB, GDDR5, 64 bit",1019 MHz,1500 MHz,640,40,16
AMD,Radeon 550X Mobile,Polaris 23,2018-04-11,PCIe 3.0 x8,"4 GB, GDDR5, 64 bit",1100 MHz,1500 MHz,640,40,16
AMD,Radeon Instinct MI50,Vega 20,2018-11-18,PCIe 4.0 x16,"16 GB, HBM2, 4096 bit",1200 MHz,1000 MHz,3840,240,64
AMD,Radeon Instinct MI60,Vega 20,2018-11-18,PCIe 4.0 x16,"32 GB, HBM2, 4096 bit",1200 MHz,1000 MHz,4096,256,64
AMD,Radeon Pro 555X,Polaris 21,2018-07-16,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",907 MHz,1275 MHz,768,48,16
AMD,Radeon Pro 560X,Polaris 21,2018-07-16,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1004 MHz,1270 MHz,1024,64,16
AMD,Radeon Pro V340,Vega 10,2018-08-26,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",852 MHz,945 MHz,3584,224,64
AMD,Radeon Pro V340 MxGPU,Vega 10,2018-08-26,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1000 MHz,1000 MHz,3584,224,64
AMD,Radeon Pro Vega 16,Vega 12,2018-11-14,PCIe 3.0 x16,"4 GB, HBM2, 1024 bit",815 MHz,1200 MHz,1024,64,32
AMD,Radeon Pro Vega 20,Vega 12,2018-11-14,PCIe 3.0 x16,"4 GB, HBM2, 1024 bit",815 MHz,740 MHz,1280,80,32
AMD,Radeon Pro WX 8200,Vega 10,2018-08-13,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,1000 MHz,3584,224,64
AMD,Radeon Pro WX Vega M GL,Polaris 22,2018-04-24,IGP,"4 GB, HBM2, 1024 bit",931 MHz,700 MHz,1280,80,32
AMD,Radeon RX 540X Mobile,Polaris 23,2018-04-11,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512,32,16
AMD,Radeon RX 550X,Lexa,2018-12-16,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,512,32,16
AMD,Radeon RX 550X 640SP,Baffin,2018-04-11,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1019 MHz,1500 MHz,640,40,16
AMD,Radeon RX 550X Mobile,Polaris 23,2018-04-11,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,640,40,16
AMD,Radeon RX 560DX,Polaris 21,2018-04-11,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1090 MHz,1500 MHz,896,56,16
AMD,Radeon RX 560X,Polaris 21,2018-04-11,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1175 MHz,1750 MHz,1024,64,16
AMD,Radeon RX 560X Mobile,Polaris 21,2018-04-11,MXM-B (3.0),"2 GB, GDDR5, 128 bit",1175 MHz,1500 MHz,1024,64,16
AMD,Radeon RX 570G,Polaris 20,2018-10-15,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1168 MHz,1750 MHz,2048,128,32
AMD,Radeon RX 570X,Polaris 20,2018-04-11,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1168 MHz,1750 MHz,2048,128,32
AMD,Radeon RX 580 2048SP,Polaris 20,2018-10-15,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1168 MHz,1750 MHz,2048,128,32
AMD,Radeon RX 580G,Polaris 20,2018-10-15,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1257 MHz,2000 MHz,2304,144,32
AMD,Radeon RX 580X,Polaris 20,2018-04-11,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1257 MHz,2000 MHz,2304,144,32
AMD,Radeon RX 580X Mobile,Polaris 20,2018-04-11,MXM-B (3.0),"8 GB, GDDR5, 256 bit",1000 MHz,2000 MHz,2304,144,32
AMD,Radeon RX 590,Polaris 30,2018-11-15,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1469 MHz,2000 MHz,2304,144,32
AMD,Radeon RX Vega 10 Mobile,Raven,2018-01-08,IGP,System Shared,300 MHz,System Shared,640,40,8
AMD,Radeon RX Vega 11,Raven,2018-02-13,IGP,System Shared,300 MHz,System Shared,704,44,8
AMD,Radeon RX Vega 11 Efficient,Raven,2018-04-23,IGP,System Shared,300 MHz,System Shared,704,44,8
AMD,Radeon RX Vega 11 Mobile,Raven,2018-05-15,IGP,System Shared,300 MHz,System Shared,704,44,8
AMD,Radeon RX Vega 56 Mobile,Vega 10,2018-06-01,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1138 MHz,800 MHz,3584,224,64
AMD,Radeon RX Vega M GH,Polaris 22,2018-02-01,IGP,"4 GB, HBM2, 1024 bit",1063 MHz,800 MHz,1536,96,64
AMD,Radeon RX Vega M GL,Polaris 22,2018-02-01,IGP,"4 GB, HBM2, 1024 bit",931 MHz,700 MHz,1280,80,32
AMD,Radeon RX Vega Nano,Vega 10,Never Released,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,800 MHz,4096,256,64
AMD,Radeon Vega 11 Embedded,Raven,2018-02-13,IGP,System Shared,300 MHz,System Shared,704,44,8
AMD,Radeon Vega 3 Efficient,Raven,2018-05-26,IGP,System Shared,300 MHz,System Shared,192,12,4
AMD,Radeon Vega 3 Embedded,Raven,2018-02-13,IGP,System Shared,300 MHz,System Shared,192,12,4
AMD,Radeon Vega 3 Mobile,Raven,2018-02-01,IGP,System Shared,300 MHz,System Shared,192,12,4
AMD,Radeon Vega 3 Mobile,Raven 2,2018-02-01,IGP,System Shared,300 MHz,System Shared,192,12,4
AMD,Radeon Vega 6 Mobile,Raven,2018-02-01,IGP,System Shared,300 MHz,System Shared,384,24,8
AMD,Radeon Vega 6 Mobile,Raven,2018-01-08,IGP,System Shared,300 MHz,System Shared,384,24,8
AMD,Radeon Vega 6 Mobile Efficient,Raven,2018-04-23,IGP,System Shared,300 MHz,System Shared,384,24,8
AMD,Radeon Vega 8,Raven,2018-02-13,IGP,System Shared,300 MHz,System Shared,512,32,8
AMD,Radeon Vega 8 Efficient,Raven,2018-04-23,IGP,System Shared,300 MHz,System Shared,512,32,8
AMD,Radeon Vega 8 Embedded,Raven,2018-02-13,IGP,System Shared,300 MHz,System Shared,512,32,8
AMD,Radeon Vega 8 Mobile,Raven,2018-01-08,IGP,System Shared,300 MHz,System Shared,512,32,8
AMD,Zhongshan Subor Z+,Fenghuang,2018-08-03,IGP,"8 GB, GDDR5, 256 bit",1300 MHz,1200 MHz,1536,96,32
AMD,Radeon 540,Lexa,2019-03-26,PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1100 MHz,1750 MHz,512,32,16
AMD,Radeon 540X,Lexa,2019-02-11,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",980 MHz,1750 MHz,512,32,16
AMD,Radeon 550X,Lexa,2019-03-27,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1082 MHz,1750 MHz,512,32,16
AMD,Radeon 550X,Lexa,2019-03-27,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1082 MHz,1750 MHz,512,32,16
AMD,Radeon 610 Mobile,Banks,2019-05-23,PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1030 MHz,1125 MHz,320,20,8
AMD,Radeon 620 Mobile,Polaris 24,2019-05-13,PCIe 3.0 x8,"2 GB, DDR3, 64 bit",730 MHz,900 MHz,384,24,8
AMD,Radeon 625 Mobile,Polaris 24,2019-05-13,PCIe 3.0 x8,"2 GB, DDR3, 64 bit",730 MHz,900 MHz,384,24,8
AMD,Radeon 630 Mobile,Polaris 23,2019-05-13,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1082 MHz,1750 MHz,512,32,16
AMD,Radeon Picasso Embedded,Picasso,2019-05-31,IGP,System Shared,300 MHz,System Shared,192,12,4
AMD,Radeon Picasso Embedded,Picasso,2019-05-31,IGP,System Shared,300 MHz,System Shared,192,12,4
AMD,Radeon Pro 5300M,Navi 14,2019-11-13,PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1000 MHz,1500 MHz,1280,80,32
AMD,Radeon Pro 5500M,Navi 14,2019-11-13,PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1000 MHz,1500 MHz,1536,96,32
AMD,Radeon Pro 570X,Polaris 20,2019-03-18,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1000 MHz,1700 MHz,1792,112,32
AMD,Radeon Pro 575X,Polaris 20,2019-03-18,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1096 MHz,1700 MHz,2048,128,32
AMD,Radeon Pro 580X,Polaris 20,2019-03-18,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1100 MHz,1695 MHz,2304,144,32
AMD,Radeon Pro Vega 48,Vega 10,2019-03-19,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,786 MHz,3072,192,64
AMD,Radeon Pro Vega 64X,Vega 10,2019-03-19,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1250 MHz,1000 MHz,4096,256,64
AMD,Radeon Pro Vega II,Vega 20,2019-06-03,PCIe 3.0 x16,"32 GB, HBM2, 4096 bit",1574 MHz,806 MHz,4096,256,64
AMD,Radeon Pro Vega II Duo,Vega 20,Unknown,PCIe 3.0 x16,"32 GB, HBM2, 4096 bit",1400 MHz,1000 MHz,4096,256,64
AMD,Radeon Pro W5300M,Navi 14,2019-11-13,PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1000 MHz,1500 MHz,1280,80,32
AMD,Radeon Pro W5700,Navi 10,2019-11-19,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1243 MHz,1750 MHz,2304,144,64
AMD,Radeon Pro W5700X,Navi 10,2019-12-11,PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",1243 MHz,1750 MHz,2304,144,64
AMD,Radeon Pro WX 3200,Polaris 23,2019-07-02,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1295 MHz,1500 MHz,640,32,16
AMD,Radeon Pro WX 3200 Mobile,Polaris 23,2019-07-02,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1082 MHz,1000 MHz,640,32,16
AMD,Radeon RX 5300 XT,Navi 14,2019-10-07,PCIe 4.0 x8,"4 GB, GDDR5, 128 bit",1670 MHz,1750 MHz,1024,64,32
AMD,Radeon RX 5300M,Navi 14,2019-11-13,PCIe 4.0 x8,"3 GB, GDDR6, 96 bit",1000 MHz,1750 MHz,1408,88,32
AMD,Radeon RX 540X,Lexa,2019-02-11,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",980 MHz,1750 MHz,512,32,16
AMD,Radeon RX 5500 OEM,Navi 14,2019-10-07,PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1500 MHz,1750 MHz,1408,88,32
AMD,Radeon RX 5500 XT,Navi 14,2019-12-12,PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1607 MHz,1750 MHz,1408,88,32
AMD,Radeon RX 5500M,Navi 14,2019-10-07,PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1375 MHz,1750 MHz,1408,88,32
AMD,Radeon RX 560 XT,Ellesmere,2019-03-13,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",973 MHz,1650 MHz,1792,112,32
AMD,Radeon RX 560X Mobile,Polaris 31,2019-01-09,PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",1223 MHz,1750 MHz,896,56,16
AMD,Radeon RX 5700,Navi 10,2019-07-07,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1465 MHz,1750 MHz,2304,144,64
AMD,Radeon RX 5700 XT,Navi 10,2019-07-07,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1605 MHz,1750 MHz,2560,160,64
AMD,Radeon RX 5700 XT 50th Anniversary,Navi 10,2019-07-07,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1680 MHz,1750 MHz,2560,160,64
AMD,Radeon RX 640,Polaris 23,2019-05-13,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1082 MHz,1750 MHz,512,32,16
AMD,Radeon VII,Vega 20,2019-02-07,PCIe 3.0 x16,"16 GB, HBM2, 4096 bit",1400 MHz,1000 MHz,3840,240,64
AMD,Radeon Vega 10 Mobile,Picasso,2019-01-06,IGP,System Shared,300 MHz,System Shared,640,40,8
AMD,Radeon Vega 10 Mobile,Picasso,2019-01-06,IGP,System Shared,300 MHz,System Shared,640,40,8
AMD,Radeon Vega 11,Picasso,2019-05-31,IGP,System Shared,300 MHz,System Shared,704,44,8
AMD,Radeon Vega 11,Picasso,2019-05-31,IGP,System Shared,300 MHz,System Shared,704,44,8
AMD,Radeon Vega 11 Mobile,Picasso,2019-01-06,IGP,System Shared,300 MHz,System Shared,704,44,8
AMD,Radeon Vega 3,Picasso,2019-05-31,IGP,System Shared,300 MHz,System Shared,192,12,8
AMD,Radeon Vega 3 Mobile,Picasso,2019-01-06,IGP,System Shared,300 MHz,System Shared,192,12,4
AMD,Radeon Vega 3 Mobile,Picasso,2019-01-06,IGP,System Shared,300 MHz,System Shared,192,12,4
AMD,Radeon Vega 8,Picasso,2019-05-31,IGP,System Shared,300 MHz,System Shared,512,32,8
AMD,Radeon Vega 8 Mobile,Picasso,2019-01-06,IGP,System Shared,300 MHz,System Shared,512,32,8
AMD,Radeon Vega 8 Mobile,Picasso,2019-01-06,IGP,System Shared,300 MHz,System Shared,512,32,8
AMD,Playstation 5 GPU,Unknown,2020-05-31,IGP,"16 GB, GDDR6, 256 bit",1750 MHz,1750 MHz,2304,144,64
AMD,Radeon Graphics 384SP,Renoir,2020-01-06,IGP,System Shared,400 MHz,System Shared,384,24,8
AMD,Radeon Graphics 448SP,Renoir,2020-01-06,IGP,System Shared,400 MHz,System Shared,448,28,8
AMD,Radeon Graphics 448SP,Renoir,2020-01-06,IGP,System Shared,400 MHz,System Shared,448,28,8
AMD,Radeon Graphics 512SP,Renoir,2020-03-07,IGP,System Shared,400 MHz,System Shared,512,32,8
AMD,Radeon Instinct MI100,MI100,Unknown,PCIe 4.0 x16,"32 GB, HBM2, 4096 bit",1000 MHz,1000 MHz,8192,512,64
AMD,Radeon Pro VII,Vega 20,2020-05-13,PCIe 4.0 x16,"16 GB, HBM2, 4096 bit",1400 MHz,1000 MHz,3840,240,64
AMD,Radeon Pro W5500,Navi 14,2020-02-10,PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1187 MHz,1750 MHz,1408,88,32
AMD,Radeon Pro W5500M,Navi 14,2020-02-10,PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1000 MHz,1500 MHz,1408,88,32
AMD,Radeon RX 5300 OEM,Navi 14,2020-05-28,PCIe 4.0 x8,"3 GB, GDDR5, 96 bit",1375 MHz,1750 MHz,768,48,24
AMD,Radeon RX 5600 OEM,Navi 10,2020-01-21,PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",1130 MHz,1500 MHz,2048,128,64
AMD,Radeon RX 5600 XT,Navi 10,2020-01-21,PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",1130 MHz,1500 MHz,2304,144,64
AMD,Radeon RX 5600M,Navi 10,2020-05-31,PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",1000 MHz,1500 MHz,2304,144,64
AMD,Radeon RX 5700M,Navi 10,2020-05-31,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1465 MHz,1500 MHz,2304,144,64
AMD,Radeon RX 5800 XT,Navi 23,2020-05-31,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1600 MHz,1750 MHz,3328,208,64
AMD,Radeon RX 590 GME,Polaris 20,2020-03-09,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1257 MHz,2000 MHz,2304,144,32
AMD,Radeon RX 5900,Navi 21,2020-05-31,PCIe 4.0 x16,"12 GB, GDDR6, 384 bit",1400 MHz,1750 MHz,4096,256,96
AMD,Radeon RX 5900 XT,Navi 21,2020-05-31,PCIe 4.0 x16,"12 GB, GDDR6, 384 bit",1500 MHz,1750 MHz,4352,272,96
AMD,Xbox Series X GPU,Scarlett,2020-05-31,IGP,"10 GB, GDDR6, 320 bit",1825 MHz,1750 MHz,3328,208,80
ATI,All-In-Wonder Radeon 7200,R100,2000-07-31,PCI,"32 MB, DDR, 128 bit",166 MHz,166 MHz,3,6,2
ATI,GameCube GPU,Flipper,2000-08-24,IGP,"16 MB, SDR, 64 bit",162 MHz,162 MHz,5,4,4
ATI,Radeon 7200,R100,2000-06-01,AGP 4x,"32 MB, SDR, 128 bit",143 MHz,143 MHz,3,6,2
ATI,Radeon 7200,R100,2000-04-01,AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,3,6,2
ATI,Radeon 7200 64 MB,R100,2000-04-01,AGP 4x,"64 MB, DDR, 128 bit",166 MHz,166 MHz,3,6,2
ATI,Radeon DDR,Rage 6,2000-04-01,AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,3,6,2
ATI,Radeon DDR MAXX,Rage 6,2000-06-01,AGP 2x,"32 MB, DDR, 128 bit",148 MHz,148 MHz,3,6,2
